student,year,sex,voting,read_news,read_edit,tv_news,ethical_practical,informed
1,1,1,Not Registered,3,1,0,2,2
2,4,1,Voted,1,1,3,2,2
3,2,0,Voted,4,1,3,2,3
4,3,1,Voted,3,1,0,3,2
5,1,1,Voted,2,0,0,2,3
6,2,1,Didn't Vote,3,1,3,2,4
7,1,0,Didn't Vote,4,1,0,4,4
8,3,1,Voted,2,1,1,2,3
9,4,0,Voted,3,1,0,4,3
10,4,1,Voted,3,0,4,3,3
11,3,0,Voted,4,1,0,4,3
12,4,1,Voted,2,0,2,2,3
13,1,1,Not Registered,2,0,3,2,2
14,1,0,Voted,3,0,4,3,3
15,3,1,Not Eligible,1,1,3,3,3
16,1,1,Didn't Vote,1,1,0,3,2
17,1,1,Didn't Vote,1,0,2,3,2
18,2,1,Voted,3,0,2,2,3
19,2,0,Not Registered,3,1,4,3,5
20,1,1,Voted,1,0,2,2,2
21,4,1,Voted,2,0,2,2,3
22,3,1,Didn't Vote,3,0,0,2,3
23,1,0,Voted,2,1,0,3,4
24,1,1,Not Registered,2,1,0,3,2
25,2,1,Voted,1,0,0,3,2
26,2,0,Voted,4,1,3,3,5
27,2,1,Voted,3,0,0,4,2
28,4,0,Not Registered,0,0,4,2,1
29,4,1,Voted,3,1,3,2,3
30,2,0,Not Registered,4,1,3,4,4
31,3,0,Not Registered,0,0,2,5,3
32,3,0,Didn't Vote,4,1,4,2,4
33,3,0,Not Registered,3,1,0,2,3
34,4,0,Voted,3,1,2,4,4
35,1,1,Didn't Vote,0,0,0,2,2
36,2,1,Voted,4,1,0,2,3
37,2,0,Voted,3,1,3,5,3
38,2,0,Not Registered,3,1,0,2,2
39,2,0,Voted,4,1,3,3,5
40,2,0,Voted,3,1,3,3,3
41,3,0,Not Registered,4,1,0,4,3
42,3,0,Voted,3,1,0,4,3
43,1,0,Not Eligible,2,0,1,4,2
44,3,0,Not Eligible,4,1,4,3,5
45,1,0,Voted,4,1,0,3,3
46,4,1,Voted,1,0,3,2,4
47,2,1,Voted,2,0,3,2,3
48,1,0,Not Registered,0,0,0,5,1
49,1,0,Not Registered,3,0,3,4,3
50,4,0,Voted,3,1,3,4,3
51,3,1,Voted,4,1,1,2,4
52,2,0,Not Eligible,3,0,3,3,3
53,4,0,Not Registered,4,1,4,2,3
54,2,0,Didn't Vote,4,1,0,3,3
55,1,1,Voted,2,0,0,2,3
56,2,1,Voted,3,0,3,2,3
57,1,0,Voted,3,0,0,2,3
58,3,1,Voted,3,0,4,3,4
59,2,0,Not Registered,4,0,3,3,4
